slat,slon,dlat,dlon
-73.7898407,40.6435585,-73.97066498,40.68727875
-73.99197388,40.74999619,-73.97788239,40.75489426
-74.00502777,40.74645233,-73.97200775,40.74578094
-73.98141479,40.75673294,-73.9705658,40.75569534
-73.78971863,40.64370728,-73.97869873,40.75034332
-73.97401428,40.75715256,-73.94973755,40.77709198
-73.78813171,40.64146042,-73.97177124,40.74940872
-73.95603943,40.76760864,-73.96820068,40.78668976
-73.97316742,40.75569916,-73.98865509,40.7369957
-73.97580719,40.76062775,-73.98778534,40.75492096
-73.96588135,40.76284027,-73.96099091,40.77087402
-73.98927307,40.7564888,-74.00279999,40.76050186
-73.945755,40.77368164,-73.95343018,40.78107834
-73.86367798,40.76977158,-74.00721741,40.70489502
-74.00824738,40.7473526,-73.97944641,40.71875
-74.00679779,40.70607376,-73.97402191,40.74407578
-73.97727203,40.75735092,-74.00243378,40.7344017
-73.87081909,40.77373886,-73.85749817,41.01781082
-73.9990921,40.74549103,-73.9785614,40.76232529
-73.98435974,40.74271011,-73.98774719,40.75188828
-73.96167755,40.7711792,-73.95211029,40.78435898
-73.99385834,40.73579788,-73.99462128,40.75046158
-73.95012665,40.78008652,-73.96282959,40.76268387
-73.95157623,40.76646805,-73.96021271,40.76054001
-73.9992981,40.74953461,-74.00536346,40.74351883
-73.95372009,40.77529526,-73.99119568,40.72631836
-73.97679901,40.74995041,-73.98156738,40.7457695
-73.96195221,40.80044556,-73.97841644,40.78279114
-73.96389008,40.77365112,-74.00511169,40.75149155
-74.00691223,40.73036194,-74.0059433,40.72706985
-73.97864532,40.74803543,-73.97013092,40.76273727
-73.97682953,40.78821182,-73.98374939,40.76253128
-73.93694305,40.79823303,-73.94638062,40.78088379
-73.99005127,40.73801041,-73.99093628,40.72521591
-73.97882843,40.7528038,-73.99103546,40.75041962
-73.98356628,40.75556183,-73.98236847,40.76696014
-73.98841095,40.75896072,-73.99189758,40.77069092
-73.9602356,40.76222992,-73.95059204,40.77531433
-73.97028351,40.76483154,-73.95757294,40.78247833
-73.96865845,40.76450729,-73.87283325,40.77145386
-73.99453735,40.74023438,-73.97618866,40.76259232
-73.98511505,40.76872635,-73.95166779,40.77443314
